"","count_bin","emis_bin","prob"
"1","1","1",6.89808700866595e-14
"2","2","1",1.12625057237034e-14
"3","3","1",2.52126702193317e-16
"4","1","2",2.48179588099537e-14
"5","2","2",8.96928018358327e-18
"6","3","2",6.82612670470352e-16
"7","4","2",1.27226537733248e-14
"8","1","3",0.999999999999999
"9","2","3",3.53707831528254e-16
"10","3","3",4.89224083568828e-16
"11","4","3",9.76985256897244e-16
"12","5","3",7.83309046255719e-16
"13","6","3",4.85051622611591e-17
"14","1","4",0.999999999999999
"15","2","4",0.999999999999999
"16","3","4",7.90382990079102e-16
"17","4","4",4.02544634539423e-15
"18","5","4",6.95142088807938e-16
"19","6","4",3.1853330266757e-16
"20","1","5",1
"21","2","5",1
"22","3","5",0.999999999999998
"23","4","5",3.14595245475931e-14
"24","5","5",7.8562468455625e-16
"25","6","5",1.69566716531224e-16
"26","7","5",2.79153133717144e-16
"27","1","6",1
"28","2","6",1
"29","3","6",0.999999999999997
"30","4","6",0.999999999999997
"31","5","6",4.85386130389732e-15
"32","6","6",1.02021628699635e-15
"33","7","6",5.69820114655099e-16
"34","8","6",4.94726389665516e-16
"35","2","7",0.958828515428443
"36","3","7",1
"37","4","7",0.999999999999999
"38","5","7",1
"39","6","7",2.20559878691565e-14
"40","7","7",1.92641315609328e-17
"41","8","7",5.80184081919852e-16
"42","9","7",6.83310495247672e-16
"43","3","8",0.999999999999998
"44","4","8",0.999999999999999
"45","5","8",0.999999999999998
"46","6","8",1
"47","7","8",0.62223552937262
"48","8","8",6.18938754459582e-16
"49","9","8",5.00593007425456e-16
"50","5","9",1
"51","6","9",0.999999999999998
"52","7","9",0.999999999999998
"53","8","9",0.999999999999999
"54","9","9",6.33381912341084e-16
"55","10","9",7.22809802302863e-16
"56","5","10",1
"57","6","10",0.999999999999999
"58","7","10",0.999999999999999
"59","8","10",0.999999999999998
"60","9","10",0.999999999999998
"61","10","10",7.67971513530405e-20
