"","count_bin","emis_bin","prob"
"1","1","1",3.64291924225854e-17
"2","2","1",7.77244088670025e-17
"3","1","2",4.65023024048238e-17
"4","2","2",2.95737450003103e-17
"5","3","2",3.44781784101226e-17
"6","1","3",1
"7","2","3",2.1772628972755e-21
"8","3","3",5.28219159056343e-16
"9","4","3",6.09405735150416e-17
"10","1","4",1
"11","2","4",1
"12","3","4",1.6653344252522e-16
"13","4","4",1.67218741462522e-21
"14","5","4",4.79757857559887e-21
"15","3","5",1
"16","4","5",0.219118628978405
"17","5","5",1.07929063083603e-21
