"","count_bin","emis_bin","prob"
"1","1","1",2.99222787511567e-15
"2","2","1",1.27028326478913e-15
"3","3","1",5.34518469579849e-17
"4","1","2",6.32790999866918e-15
"5","2","2",1.21698070581248e-15
"6","3","2",5.38057932543609e-15
"7","4","2",1.60188192058821e-15
"8","1","3",6.66133814775094e-16
"9","2","3",1.18994768080784e-15
"10","3","3",4.73208908290387e-15
"11","4","3",5.17229250907376e-15
"12","5","3",4.01893170542895e-15
"13","6","3",7.34967642301854e-14
"14","1","4",1
"15","2","4",6.88338275267597e-15
"16","3","4",1.48152710388361e-14
"17","4","4",4.95511779121724e-15
"18","5","4",3.84843886289506e-15
"19","6","4",5.86106905317767e-15
"20","1","5",1
"21","2","5",1
"22","3","5",1.74797926398156e-15
"23","4","5",1.82190262469674e-15
"24","5","5",1.30012944694131e-15
"25","6","5",1.77767386441888e-15
"26","7","5",2.56681943923e-15
"27","1","6",1
"28","2","6",1
"29","3","6",1
"30","4","6",2.21814364901396e-16
"31","5","6",2.63031216813605e-16
"32","6","6",3.55076439983301e-16
"33","7","6",4.00096783142186e-15
"34","8","6",4.82964003491932e-15
"35","2","7",1
"36","3","7",1
"37","4","7",1
"38","5","7",2.3180013679961e-16
"39","6","7",2.0837274542384e-15
"40","7","7",1.35612598889331e-15
"41","8","7",2.66975992960646e-16
"42","9","7",3.29419605604655e-15
"43","3","8",1
"44","4","8",1
"45","5","8",1
"46","6","8",7.38056422792209e-15
"47","7","8",7.30922845663174e-16
"48","8","8",1.94677399871917e-15
"49","9","8",1.5778187765989e-16
"50","5","9",1
"51","6","9",1
"52","7","9",0.103621369666727
"53","8","9",2.31790992739257e-16
"54","9","9",2.32562442455537e-16
"55","10","9",2.76333152353978e-16
"56","5","10",1
"57","6","10",0.99999999999998
"58","7","10",0.999999999999981
"59","8","10",0.999999999999987
"60","9","10",3.76431035380845e-16
"61","10","10",4.14123426516965e-20
