"","count_bin","emis_bin","prob"
"1","1","1",3.83981207543729e-15
"2","2","1",2.27375644114282e-20
"3","1","2",2.66236778080448e-18
"4","2","2",1.24648926438213e-14
"5","3","2",1.16513898303539e-14
"6","1","3",1
"7","2","3",4.80276307289755e-15
"8","3","3",1.2586400314953e-14
"9","4","3",1.93904840279164e-21
"10","1","4",0.995689678252037
"11","2","4",1
"12","3","4",1.25946822774766e-14
"13","4","4",9.97160875538116e-21
"14","5","4",2.03784046907168e-21
"15","3","5",1
"16","4","5",0.497330617734836
"17","5","5",5.57512242505497e-22
