"","count_bin","emis_bin","prob"
"1","1","1",1.65910459473933e-17
"2","2","1",1.21932061483217e-16
"3","3","1",1.66533453693773e-16
"4","1","2",1
"5","2","2",1.09536921535191e-16
"6","3","2",2.12366191960826e-21
"7","4","2",4.98054419468637e-16
"8","1","3",1
"9","2","3",1
"10","3","3",1.14408246897173e-17
"11","4","3",1.35199991354198e-19
"12","5","3",3.88578058618794e-16
"13","1","4",1
"14","2","4",1
"15","3","4",1
"16","4","4",1.87562991831958e-14
"17","5","4",8.96940679391697e-21
"18","2","5",1
"19","3","5",1
"20","4","5",1
"21","5","5",0.0219627035301776
