"","count_bin","emis_bin","prob"
"1","1","1",9.50399370529573e-13
"2","2","1",1.63790498026805e-15
"3","3","1",1.33376898703087e-14
"4","1","2",5.77955332009845e-15
"5","2","2",4.43540721610098e-15
"6","3","2",9.67686696206991e-17
"7","4","2",3.50285901122979e-15
"8","1","3",1
"9","2","3",8.9429883796792e-15
"10","3","3",4.96856182605393e-16
"11","4","3",5.30202738327233e-15
"12","5","3",1.01920968590407e-16
"13","1","4",0.973655203782723
"14","2","4",1
"15","3","4",3.59590792883558e-16
"16","4","4",4.67880937370141e-16
"17","5","4",2.61890407859325e-15
"18","2","5",0.999999999999999
"19","3","5",1
"20","4","5",0.315686969190769
"21","5","5",6.03500484214686e-16
