"","count_bin","emis_bin","prob"
"1","1","1",3.10336972763962e-16
"2","2","1",5.88058135618013e-16
"3","1","2",1
"4","2","2",2.65226842966435e-16
"5","3","2",2.33375524089978e-16
"6","2","3",0.999999999999999
"7","3","3",5.2165126050858e-17
"8","4","3",2.54287463748464e-17
"9","3","4",3.58905517289338e-16
"10","4","4",1.33921584263255e-16
"11","5","4",3.96859773573498e-17
"12","4","5",5.83539487838825e-16
"13","5","5",2.43067441880393e-17
"14","6","5",4.69365243292814e-17
"15","4","6",0.999999999999999
"16","5","6",1.54396551463121e-16
"17","6","6",8.08186684139876e-15
"18","7","6",3.93615491204103e-17
"19","4","7",0.999999999999999
"20","5","7",1
"21","6","7",2.85206202012059e-17
"22","7","7",6.05299074852434e-17
"23","8","7",1.02704869351553e-16
"24","6","8",0.999999999999999
"25","7","8",1.23204789024869e-16
"26","8","8",3.01387867282514e-17
"27","9","8",2.72316155321386e-17
"28","6","9",0.999999999999999
"29","7","9",0.999999999999999
"30","8","9",1.44782912094834e-17
"31","9","9",1.09529658894068e-15
"32","10","9",1.33462374816026e-17
"33","8","10",0.742070520045038
"34","9","10",2.3391173026885e-17
"35","10","10",3.33424002192838e-14
