"","count_bin","emis_bin","prob"
"1","1","1",7.69861804016223e-17
"2","2","1",3.33647207497349e-17
"3","1","2",1
"4","2","2",1.38910002455477e-17
"5","3","2",4.34303150225177e-16
"6","2","3",1
"7","3","3",7.95019996924483e-18
"8","4","3",5.86506407203288e-18
"9","3","4",4.93221105161657e-17
"10","4","4",1.33117382374954e-17
"11","5","4",3.69608043942349e-18
"12","4","5",2.82272362303791e-16
"13","5","5",1.86904176149665e-16
"14","6","5",5.85590054482812e-18
"15","4","6",1
"16","5","6",2.88705054519767e-18
"17","6","6",1.82827766007776e-18
"18","7","6",8.14338466469508e-16
"19","4","7",1
"20","5","7",0.185416666666737
"21","6","7",1.24558948302592e-16
"22","7","7",9.03640025911358e-17
"23","8","7",2.60423101508e-17
"24","6","8",1
"25","7","8",2.57741144884176e-16
"26","8","8",2.19558752038798e-16
"27","9","8",9.54499731623986e-17
"28","6","9",1
"29","7","9",1
"30","8","9",5.4634531950232e-19
"31","9","9",2.97293221549297e-19
"32","10","9",1.00351854986123e-18
"33","8","10",8.58280664880461e-28
"34","9","10",3.56800654977679e-17
"35","10","10",2.77085115423284e-20
