"","count_bin","emis_bin","prob"
"1","1","1",7.7430422717923e-16
"2","2","1",1.71983831151981e-15
"3","1","2",0.999999999999999
"4","2","2",1.33424272115632e-16
"5","3","2",3.82004094765248e-16
"6","2","3",0.999999999999999
"7","3","3",5.82033622903741e-16
"8","4","3",1.1827851295632e-15
"9","3","4",9.06751614662987e-16
"10","4","4",4.06791086571277e-16
"11","5","4",1.21943049655202e-15
"12","4","5",4.60301799628514e-16
"13","5","5",7.88912595778499e-16
"14","6","5",1.88069684399539e-15
"15","4","6",0.999999999999999
"16","5","6",0.560404225999112
"17","6","6",4.05294513876165e-15
"18","7","6",1.58836911937022e-15
"19","4","7",1
"20","5","7",1
"21","6","7",0.999999999999998
"22","7","7",3.1339140063403e-16
"23","8","7",5.58198295730949e-16
"24","6","8",0.999999999999998
"25","7","8",0.999999999999999
"26","8","8",2.36825432042361e-15
"27","9","8",8.33798716284644e-16
"28","6","9",0.999999999999999
"29","7","9",0.999999999999999
"30","8","9",0.999999999999998
"31","9","9",5.78631374891456e-16
"32","10","9",4.01590075866097e-16
"33","8","10",1
"34","9","10",1
"35","10","10",9.0580465525674e-16
